Symbol,FiscalDateEnding,TotalRevenue,GrossProfit,NetIncome,OperatingIncome,OperatingMargin,TotalAssets,TotalLiabilities,CommonStockSharesOutstanding,TotalShareholderEquity,BVPS,Debt_to_Equity,Date
ADBE,2025-11-30,6194.0,5508.0,1856.0,2261.0,36.50306748466258,29496.0,17873.0,417.0,11623.0,27.87,1.54,2025-12-30
ADBE,2025-08-31,5988.0,5346.0,1772.0,2173.0,36.28924515698063,28754.0,16984.0,430.0,11770.0,27.37,1.44,2025-12-30
ADBE,2025-05-31,5873.0,5235.0,1691.0,2109.0,35.91009705431637,28107.0,16659.0,433.0,11448.0,26.44,1.46,2025-12-30
ADBE,2025-02-28,5714.0,5092.0,1811.0,2163.0,37.85439271963598,29955.0,16860.0,438.0,13095.0,29.9,1.29,2025-12-30
ADBE,2024-11-30,5606.0,4990.0,1683.0,1957.0,34.90902604352479,30230.0,16125.0,443.0,14105.0,31.84,1.14,2025-12-30
ADBE,2024-08-31,5408.0,4854.0,1684.0,1992.0,36.83431952662722,29830.0,15285.0,448.0,14545.0,32.47,1.05,2025-12-30
ADBE,2024-05-31,5309.0,4711.0,1573.0,1885.0,35.50574496138633,30007.0,15164.0,451.0,14843.0,32.91,1.02,2025-12-30
ADBE,2024-02-29,5182.0,4592.0,620.0,907.0,17.502894635275958,28751.0,13291.0,456.0,15460.0,33.9,0.86,2025-12-30
ADBE,2023-11-30,5048.0,4414.0,1483.0,1743.0,34.52852614896989,29779.0,13261.0,459.0,16518.0,35.99,0.8,2025-12-30
ADBE,2023-08-31,4890.0,4310.0,1403.0,1697.0,34.70347648261758,29090.0,13314.0,459.0,15776.0,34.37,0.84,2025-12-30
ADBE,2023-05-31,4816.0,4244.0,1295.0,1624.0,33.72093023255814,27838.0,13000.0,459.0,14838.0,32.33,0.88,2025-12-30
ADBE,2023-02-28,4655.0,4087.0,1247.0,1586.0,34.07089151450054,26667.0,12461.0,459.5,14206.0,30.92,0.88,2025-12-30
ADBE,2022-11-30,4525.0,3957.0,1176.0,1505.0,33.25966850828729,27165.0,13114.0,466.0,14051.0,30.15,0.93,2025-12-30
