Symbol,Valuation_Score,Profitability_Score,Growth_Score,Debt_Score,Earnings_Quality_Score,Efficiency_Score,Margin_Quality_Score,Return_Quality_Score,Fundamental_Weight,Price_vs_FairValue,RevenueGrowth_YoY,Debt_to_Equity,DebtToAssets,TTM_ROE,TTM_ROA,TTM_NetProfitMargin,TTM_AssetTurnover,TTM_EquityTurnover,EPSGrowth_YoY,NetIncomeGrowth_YoY,TTM_GrossMargin,TTM_OperatingMargin
ADBE,10,10,7,4,5,4,10,10,11.59,-21.49,10.49,1.54,60.59,57.69,23.99,30.0,0.8,1.92,17.11,10.28,89.11,36.63
ADSK,-5,9,7,-1,8,6,8,9,0.73,71.57,18.25,2.87,74.17,40.3,10.09,16.14,0.62,2.5,25.98,24.73,91.25,22.3
AMD,-5,4,10,10,10,0,4,3,1.95,31.39,35.59,0.26,20.94,5.59,4.53,10.32,0.44,0.54,61.7,61.22,48.26,8.78
AMZN,10,9,7,8,10,8,7,8,13.66,-26.91,13.4,0.97,49.22,23.33,11.31,11.06,1.02,2.11,36.36,38.22,50.05,11.02
ANET,-5,10,10,8,5,2,10,10,4.76,70.86,27.46,0.52,34.03,30.65,20.92,39.73,0.53,0.77,15.52,14.05,64.34,42.88
APH,3,9,10,4,10,4,5,10,8.54,-8.07,53.37,1.16,53.55,34.25,15.73,18.22,0.86,1.88,102.08,106.11,35.94,24.64
APP,-5,10,10,-4,10,6,10,10,2.07,93.09,68.23,3.3,76.76,220.83,46.36,51.28,0.9,4.31,96.0,92.34,83.31,59.92
ARM,-5,6,10,10,10,0,8,5,3.66,130.59,34.48,0.31,23.72,12.01,9.12,18.81,0.48,0.64,120.0,122.43,95.63,19.38
ASML,-5,10,3,4,2,4,10,10,0.24,122.38,0.65,1.37,57.88,52.57,21.03,30.58,0.69,1.72,3.79,2.31,52.44,36.32
AVGO,-5,10,10,4,10,0,10,9,4.15,47.41,28.18,1.1,52.49,30.61,13.75,36.2,0.38,0.85,93.33,96.99,67.77,39.89
AXON,-5,4,10,4,-10,0,0,3,-5.61,254.2,30.57,1.2,54.52,9.6,4.62,10.05,0.46,0.96,-103.49,-103.26,60.31,-0.96
BAC,10,3,10,-10,8,-2,8,0,2.68,-72.17,90.26,10.19,91.06,9.89,0.89,15.7,0.06,0.63,27.59,22.81,53.72,17.14
BIIB,10,5,-5,8,6,0,8,4,5.0,-66.51,-0.45,0.6,37.66,9.21,5.62,16.11,0.35,0.57,19.17,20.08,70.12,24.47
BLK,10,6,10,4,-10,-4,10,4,5.37,-36.45,25.25,1.82,61.98,11.84,4.05,26.64,0.15,0.44,-22.48,-18.88,51.64,32.59
CBRE,10,3,7,2,10,8,0,4,7.2,-30.59,13.52,2.26,67.47,14.49,4.64,3.12,1.49,4.64,65.75,61.33,37.94,4.39
CDNS,-5,10,7,8,6,4,10,8,3.9,129.23,10.15,0.85,45.84,21.49,11.42,20.35,0.56,1.06,20.69,20.58,87.82,28.5
CDW,10,6,3,-4,-4,8,2,8,2.32,-41.38,4.0,4.98,83.29,42.98,7.04,4.76,1.48,9.03,-5.96,-8.03,21.6,7.39
COF,10,0,10,-4,7,-2,1,-2,2.07,-38.62,42.9,4.82,82.8,1.62,0.25,2.24,0.11,0.73,7.78,79.68,45.74,2.59
COIN,10,10,10,8,10,0,10,8,14.63,-60.48,55.05,0.96,48.89,24.47,11.94,41.95,0.28,0.58,428.57,472.95,77.35,28.62
CRM,10,6,3,8,10,0,8,5,9.51,-33.66,8.63,0.59,36.92,11.92,7.29,17.91,0.41,0.67,38.22,36.61,77.73,20.54
CRWD,-5,-7,10,4,10,2,0,-8,-7.2,208.2,22.18,1.47,59.27,-8.61,-3.37,-6.88,0.49,1.25,100.0,102.1,74.27,-7.9
CRWV,3,-7,10,-10,-10,2,3,-8,-11.95,0.14,133.7,7.49,88.22,-44.26,-3.02,-17.8,0.17,2.49,-73.49,-69.39,73.85,3.63
