Symbol,SentimentScore,Positive,Negative,as_of
AAPL,1.05,50,20,2026-09-26
ADBE,0.0,12,6,2026-09-26
AFRM,0.0,8,4,2026-09-26
AMZN,-0.78,27,16,2026-09-26
ANET,6.79,21,1,2026-09-26
AMD,3.3,74,18,2026-09-26
APP,-5.65,11,23,2026-09-26
AVAV,1.88,7,2,2026-09-26
AVGO,2.08,44,14,2026-09-26
BIIB,2.5,5,1,2026-09-26
BKR,5.5,13,1,2026-09-26
CDNS,1.88,7,2,2026-09-26
COIN,-0.9,28,17,2026-09-26
CRM,1.44,49,18,2026-09-26
CRWV,0.33,60,28,2026-09-26
CVLT,0.0,2,1,2026-09-26
DASH,-0.79,15,9,2026-09-26
ENPH,-8.15,0,11,2026-09-26
FIG,1.0,3,1,2026-09-26
FTNT,7.37,14,0,2026-09-26
GOOGL,1.17,31,12,2026-09-26
GTLB,2.86,2,0,2026-09-26
HAL,5.0,11,1,2026-09-26
HIMS,-6.09,2,8,2026-09-26
HOOD,-2.88,21,20,2026-09-26
INTU,-0.36,11,6,2026-09-26
IREN,5.33,32,4,2026-09-26
LRCX,5.71,14,1,2026-09-26
MCK,2.5,5,1,2026-09-26
MRK,6.58,29,2,2026-09-26
META,-0.57,64,36,2026-09-26
MRVL,5.4,46,6,2026-09-26
MSFT,0.88,41,17,2026-09-26
MU,1.51,93,34,2026-09-26
NFLX,-7.48,14,56,2026-09-26
NOW,1.6,12,4,2026-09-26
NVDA,0.22,21,10,2026-09-26
ORCL,-5.39,36,63,2026-09-26
PANW,2.45,28,8,2026-09-26
RCL,0.94,15,6,2026-09-26
REGN,3.08,6,1,2026-09-26
SLB,6.88,11,0,2026-09-26
SNOW,0.74,12,5,2026-09-26
SOFI,3.0,17,4,2026-09-26
TEAM,7.22,13,0,2026-09-26
TSLA,0.53,47,21,2026-09-26
UBER,1.21,16,6,2026-09-26
UI,3.75,3,0,2026-09-26
UNH,4.09,13,2,2026-09-26
UPST,-2.35,4,4,2026-09-26
VEEV,3.81,12,2,2026-09-26
VRT,2.16,20,6,2026-09-26
ZS,0.38,11,5,2026-09-26
UMAC,-2.14,3,3,2026-09-26
NOC,4.0,8,1,2026-09-26
MDB,0.56,7,3,2026-09-26
LMT,3.53,32,7,2026-09-26
U,-2.14,3,3,2026-09-26
CRCL,-0.74,10,6,2026-09-26
TWLO,3.42,23,5,2026-09-26
ACHR,1.25,11,4,2026-09-26
ALAB,5.0,11,1,2026-09-26
APLD,3.93,17,3,2026-09-26
ARM,5.32,45,6,2026-09-26
ASTS,0.83,17,7,2026-09-26
CIFR,3.0,17,4,2026-09-26
CVNA,3.75,3,0,2026-09-26
IONQ,3.09,59,15,2026-09-26
JOBY,0.0,12,6,2026-09-26
MARA,0.0,6,3,2026-09-26
MSTR,0.89,22,9,2026-09-26
NVTS,1.0,3,1,2026-09-26
RDDT,-1.79,9,7,2026-09-26
RKLB,3.55,49,11,2026-09-26
SHOP,2.6,29,8,2026-09-26
SMCI,3.96,31,6,2026-09-26
SOUN,0.45,9,4,2026-09-26
TEM,7.06,12,0,2026-09-26
APA,1.33,6,2,2026-09-26
OXY,0.0,6,3,2026-09-26
TRGP,6.88,11,0,2026-09-26
DVN,1.0,3,1,2026-09-26
FANG,-0.83,3,2,2026-09-26
COF,2.86,2,0,2026-09-26
C,2.61,12,3,2026-09-26
BE,0.95,32,13,2026-09-26
BA,-3.58,28,31,2026-09-26
URI,1.82,4,1,2026-09-26
PH,4.44,4,0,2026-09-26
FCX,6.43,9,0,2026-09-26
LYB,-4.44,0,2,2026-09-26
CRDO,2.86,20,5,2026-09-26
NBIS,2.65,50,14,2026-09-26
LITE,6.49,28,2,2026-09-26
CLS,3.08,6,1,2026-09-26
RBRK,-1.67,5,4,2026-09-26
QQQ,1.5,9,3,2026-09-26
