Date,Symbol,Close,ma_10,ma_30,ma_50,ma_100,ma_200,RSI,macd,MACD Signal,Technical_Score,SentimentScore,Fundamental_Weight,Sector Score,combined_signal,final_trade,Buy Streak,Sell Streak,Hold Streak,is_earnings_date,RS_Score,Strategy_Score,Strategy_Rank,Strategy_Weight,Provisional_Weight,Regime_On,Rebalance_Day,Legacy_Combined,rules_version,Midweek_Check
2026-09-25,AAPL,341.07,336.27,323.174,321.7426,311.5593,287.388,65.709,6.2301,5.4343,69.1176,1.05,5.34,2.4223,46.6422,HOLD,0,0,22,0,24.1667,46.6422,15.0,0.0,0.0,1,1,58.9838,v4-mw30-t20-e5,0
2026-09-24,AAPL,335.92,335.39,321.9803,321.5806,310.912,287.0684,61.3597,6.0381,5.2354,64.7059,,,0.8767,43.7418,HOLD,0,0,21,0,22.7778,43.7418,20.0,0.0,,1,0,,v4-mw30-t20-e5,0
2026-09-23,AAPL,337.02,334.455,320.858,321.4066,310.3492,286.7789,62.9431,6.2297,5.0347,58.8235,,,1.8613,39.0645,HOLD,0,0,20,0,19.3056,39.0645,29.0,0.0,,1,0,,v4-mw30-t20-e5,1
2026-09-22,AAPL,339.75,332.287,319.7877,320.958,309.6877,286.4935,66.9229,6.2716,4.736,52.9412,,,0.9924,40.0817,HOLD,0,0,19,0,27.2222,40.0817,25.0,0.0,,1,0,,v4-mw30-t20-e5,0
2026-09-21,AAPL,338.98,329.934,318.738,320.5038,308.9871,286.2116,66.3659,5.9559,4.3521,52.9412,,,-2.6467,38.9706,HOLD,0,0,18,0,25.0,38.9706,23.0,0.0,,1,0,,v4-mw30-t20-e5,1
2026-09-18,AAPL,336.13,328.033,317.874,320.0252,308.2996,285.9438,64.2998,5.5447,3.9511,57.3529,,,-3.0983,44.0931,HOLD,0,0,17,0,30.8333,44.0931,17.0,0.0,,1,1,,v4-mw30-t20-e5,0
2026-09-17,AAPL,337.0,327.241,317.0743,319.6216,307.6096,285.6748,65.4393,5.2294,3.5527,57.3529,,,-1.847,46.0376,HOLD,0,0,16,0,34.7222,46.0376,16.0,0.0,,1,0,,v4-mw30-t20-e5,0
2026-09-16,AAPL,332.41,326.037,316.1987,319.144,306.9454,285.3802,62.1536,4.6624,3.1335,63.2353,,,-1.9799,47.2426,HOLD,0,0,15,0,31.25,47.2426,13.0,0.0,,1,0,,v4-mw30-t20-e5,1
2026-09-15,AAPL,331.34,325.309,315.422,318.7036,306.3507,285.1022,61.3584,4.3381,2.7513,58.8235,,,-4.6783,44.759,HOLD,0,0,14,0,30.6944,44.759,17.0,0.0,,1,0,,v4-mw30-t20-e5,0
2026-09-14,AAPL,333.08,323.86,314.4827,318.3246,305.7641,284.8266,63.369,3.9701,2.3546,58.8235,,,-3.0069,45.4534,HOLD,0,0,13,0,32.0833,45.4534,15.0,0.0,,1,0,,v4-mw30-t20-e5,1
