Date,Open,High,Low,Close,Volume,Symbol,ma_10,ma_30,ma_50,ma_100,ma_200,RSI Options Rate,macd,MACD Signal,fi,fib_0%,fib_23.6%,fib_38.2%,fib_50%,fib_61.8%,fib_76.4%,fib_100%,fib_signal,SentimentScore,Fundamental_Weight,Monthly Return (%),combined_signal,final_trade,Buy Streak,Sell Streak,trade_value,Adj Close
2026-01-02,272.26,277.84,269.0,271.01,6.62,AAPL,272.61,275.51,272.76,257.48,231.7,31.11,-0.29,0.45,17.38,275.43,274.04,273.19,272.49,271.8,270.95,269.56,-1,-2.98,0.0,-1.08,-4.32,HOLD,0,0,0,
2026-01-02,350.68,351.12,331.64,333.3,24.28,ADBE,351.74,339.42,339.11,345.15,362.37,33.26,3.19,4.84,16.26,356.68,355.24,354.35,353.63,352.91,352.02,350.58,0,5.5,11.59,-1.08,-14.32,HOLD,0,0,0,
2026-01-02,296.0,296.06,282.51,286.73,12.73,ADSK,297.98,298.5,299.8,304.54,295.76,30.55,-1.48,-0.79,-20.1,303.1,301.33,300.24,299.35,298.47,297.38,295.61,0,0.0,0.73,-1.08,-73.32,SELL,0,2,-50,
2026-01-02,218.9,227.15,218.9,223.47,11.81,AMD,214.29,214.23,227.63,203.23,163.23,51.86,-1.28,-2.85,-69.65,216.83,216.11,215.67,215.32,214.96,214.52,213.8,0,7.63,1.95,-1.08,41.68,HOLD,0,0,0,
2026-01-02,231.34,235.46,224.7,226.5,25.81,AMZN,230.15,228.3,231.53,228.47,217.03,43.06,0.09,-0.21,-20.3,232.99,230.16,228.41,226.99,225.57,223.82,220.99,0,0.36,13.66,-2.07,3.72,HOLD,0,0,0,
2026-01-02,134.05,136.09,132.18,133.6,8.47,ANET,131.16,128.14,134.58,138.54,116.45,48.84,0.18,-0.77,27.76,135.3,134.26,133.61,133.09,132.57,131.92,130.88,-1,0.0,4.76,-1.08,3.68,HOLD,0,0,0,
2026-01-02,137.12,139.94,136.69,139.71,19.43,APH,136.05,135.97,136.41,127.07,106.69,51.36,0.49,0.06,22.53,137.85,137.18,136.77,136.44,136.11,135.7,135.03,0,0.0,8.54,0.71,66.84,BUY,9,0,50,
2026-01-02,683.37,683.5,610.58,618.32,6.45,APP,700.42,656.88,634.99,597.36,466.45,31.38,13.08,23.3,-36.4,738.01,724.79,716.61,710.01,703.4,695.22,682.0,0,4.38,2.07,-0.84,2.64,HOLD,0,0,0,
2026-01-02,112.83,116.29,112.83,114.73,4.69,ARM,112.01,126.61,139.37,143.79,137.42,18.94,-8.25,-8.28,-77.25,112.0,111.36,110.96,110.65,110.33,109.93,109.29,0,0.0,3.66,-1.08,-7.32,HOLD,0,36,0,
2026-01-02,1133.76,1172.77,1133.48,1163.78,23.36,ASML,1072.12,1069.36,1056.14,965.47,843.33,57.11,11.43,7.83,66.03,1086.06,1082.02,1079.51,1077.49,1075.47,1072.97,1068.92,0,2.5,0.24,-1.08,77.68,BUY,5,0,50,
2026-01-02,248.45,257.89,241.65,256.19,12.72,AVAV,249.72,259.85,292.96,293.89,242.77,53.73,-10.52,-13.69,-41.46,263.36,257.8,254.36,251.58,248.8,245.36,239.8,-1,0.0,0.0,-1.08,-32.32,SELL,0,16,-50,
2026-01-02,352.78,360.66,345.56,347.62,9.94,AVGO,345.5,365.3,361.22,344.91,288.92,25.51,-5.62,-4.6,-28.17,352.68,350.97,349.91,349.05,348.19,347.13,345.42,-1,-2.86,4.15,-1.08,-11.32,HOLD,0,14,0,
2026-01-02,573.37,579.58,554.4,563.45,5.0,AXON,580.77,556.45,595.12,665.52,680.17,42.95,-1.46,-3.54,-12.55,617.97,608.33,602.37,597.55,592.73,586.77,577.13,0,0.0,-5.61,0.71,-32.16,SELL,0,41,-50,
2026-01-02,55.03,55.99,54.88,55.95,9.02,BAC,55.54,54.08,53.47,51.68,47.33,61.53,0.72,0.77,39.41,56.55,55.89,55.49,55.16,54.83,54.43,53.77,1,1.0,2.68,-0.7,51.2,BUY,25,0,50,
