Symbol,SentimentScore
AAPL,-2.980769230769228
ADBE,5.499999999999998
AMD,7.631578947368418
AMZN,0.3571428571428559
APP,4.375
ASML,2.5000000000000036
AVGO,-2.857142857142855
BAC,1.0
BLK,3.571428571428571
COIN,-5.652173913043476
CRM,7.631578947368418
CRWD,10.0
GOOGL,6.896551724137929
HIMS,-1.25
HOOD,0.21739130434782794
INTC,-3.749999999999999
INTU,-5.0
IONQ,5.0000000000000036
ISRG,4.375
LLY,0.6249999999999982
LRCX,10.0
META,0.15625
MRK,-6.874999999999999
MRVL,5.0000000000000036
MSFT,2.894736842105262
MU,4.130434782608694
NBIS,0.3571428571428559
NFLX,-1.25
NOW,-5.0
NVDA,0.13698630136986445
ORCL,-7.608695652173911
PANW,2.5000000000000036
PLTR,5.499999999999998
RCL,-5.0
RTX,10.0
SHOP,10.0
SNOW,-1.25
TSLA,-8.493150684931503
UBER,-3.499999999999999
UNH,-10.0
